设计工程	5-1:1
设计 步骤	5-1:4
架构设计	5-1:5
概要设计	5-1:5
architecture design	5-1:5
架构风格	5-1:5
architecture style	5-1:5
设计模式	5-1:5
design pattern	5-1:5
质量因素 架构设计	5-1:6
建筑风格	5-2:2
架构风格	5-3:4
模块化	5-3:5
接口设计	5-3:6
interface design	5-3:6
用户界面	5-3:6
架构 评价	5-4:1
架构 重要性	5-4:2
详细设计	5-4:3
构件级设计	5-4:3
抽象 (设计)	5-4:5
abstraction	5-4:5
数据抽象	5-4:6
Data Abstraction	5-4:6
过程抽象	5-5:1
Procedure Abstraction	5-5:1
分解	5-5:3
模块	5-5:4
decomposition	5-5:4
modularity	5-5:4
module	5-5:4
模块化	5-5:4
信息隐藏	5-5:5
Information Hiding	5-5:5
模块独立	5-5:6
内聚	5-6:1
耦合	5-6:4
cohesion	5-6:1
coupling	5-6:4
高内聚	5-6:3
低耦合	5-6:5
质量要求 设计	5-7:1
设计 质量要求	5-7:1
坏味道	5-7:2
僵化性	5-7:2
Reigidity	5-7:2
脆弱性	5-7:2
Fragility	5-7:2
牢固性	5-7:2
Immobility	5-7:2
粘滞性	5-7:3
Visosity	5-7:3
不必要的复杂性	5-7:4
复杂性	5-7:4
Needless Complexity	5-7:4
Complexity	5-7:4
不必要的重复	5-7:4
重复	5-7:4
Needless Repeatition	5-7:4
Repetition	5-7:4
晦涩性	5-7:4
Opacity	5-7:4
设计复用	5-7:6
Design Reuse	5-7:6
模式	5-8:1
Pattern	5-8:1
软件模式	5-8:2
Architectural Pattern	5-8:3
Design Pattern	5-8:3
Idiom	5-8:3
架构模式	5-8:3
设计模式	5-8:3
成例	5-8:3
分层	5-8:4
Layers	5-8:4
Blackboard	5-8:4
黑板	5-8:4
Broker模式	5-8:4
分布式系统	5-8:4
Distributed System	5-8:4
架构风格	5-8:4
交互系统	5-8:5
Interactive System	5-8:5
MVC	5-8:5
Model - View - Controller	5-8:5
Presentation - abstraction - control 	5-8:5
PAC	5-8:5
Adaptable System	5-8:5
适应系统	5-8:5
微内核	5-8:5
Microkernel	5-8:5
MVC	5-8:6
Pipes and Filters	5-9:1
